Item,Qty,Reference(s),Value,Mouser
1,11,"C1, C2, C3, C8, C9, C14, C15, C24, C28, C29, C30",0.1uF,581-AR215C104K4R
2,8,"C4, C5, C6, C7, C31, C32, C33, C34",1uF,594-K105K20X7RF5TH5
3,6,"C10, C11, C12, C13, C22, C25",10uF,581-TAP106M025CRW
4,4,"C16, C17, C18, C19",4700pF,581-AR211C472K4R
5,1,C20,4.7uF,581-TAP475K016SCS
6,1,C21,1000pF,581-AR211C102K4R
7,1,C23,270pF,594-S271K43SL0N6TK5R
8,1,C26,220uF 16V,647-TVX1C221MAD
9,1,C27,0.047uF,581-AR215C473K4R
10,1,CR1,1N914,512-1N914
11,1,J1,Conn_01x03,490-SJ1-3553NG
13,1,J3,Conn_01x06,
14,1,Q1,2N3904,512-2N3904BU
15,6,"R3, R4, R7, R8, R12, R13",2.2K,291-2.2K-RC
16,1,R5,12K,291-12K-RC
17,4,"R6, R10, R11, R19",10K,291-10K-RC
18,1,R9,1.5K,291-1.5K-RC
19,1,R14,8.2K,291-8.2K-RC
20,1,R15,10K,688-RK14J11A000G
21,3,"R16, R17, R18",10,291-10-RC
22,1,U1,74ALS245,595-SN74ALS245AN
23,1,U2,74ALS04,595-SN74ALS04BN
24,1,U3,TC1262-3.3V,579-TC1262-3.3VDB
25,1,U5,XC9572XL-TQ100,217-9572XL-10TQG100C
26,1,U7,YM3812,
27,1,U8,YM3014B,
28,1,U9,RC4136,595-RC4136N
29,1,U10,LM386N,926-LM386N-4/NOPB
30,1,U11,L78L05_TO92,511-L78L05ACZ
